protein1,protein2,tm_score,sequence_divergence,patristic_distance,protein1_cluster,protein2_cluster,cluster_key
P005077009626_Drosophila_guanche_part1_of1,P005081004694_Drosophila_kikkawai_part1_of1,0.8859,0.5263157894736843,1.240854985,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005082012188_Drosophila_mauritiana_part1_of1,0.88861,0.7201646090534979,2.3435027300000004,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005082012529_Drosophila_mauritiana_part1_of1,0.93411,0.4377510040160642,1.048383577,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005083008909_Drosophila_melanogaster_part1_of1,0.89604,0.7160493827160495,2.347416646,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005083008910_Drosophila_melanogaster_part1_of1,0.91437,0.4377510040160642,1.047708526,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005084006084_Drosophila_miranda_part1_of1,0.93906,0.1752988047808764,0.2062576039999999,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005084006085_Drosophila_miranda_part1_of1,0.88552,0.7037037037037037,2.212889812,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005085005288_Drosophila_mojavensis_part1_of1,0.8601,0.71900826446281,2.49227596,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005085005289_Drosophila_mojavensis_part1_of1,0.87809,0.4605809128630705,1.0293565029999998,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005086002813_Drosophila_navojoa_part1_of1,0.86111,0.7231404958677685,2.473917752,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005086003013_Drosophila_navojoa_part1_of1,0.92556,0.4227642276422764,0.992515857,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005087007713_Drosophila_novamexicana_part1_of1,0.90538,0.467479674796748,1.093738967,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005087007760_Drosophila_novamexicana_part1_of1,0.89256,0.6983471074380165,2.412502084,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005087007761_Drosophila_novamexicana_part1_of1,0.9115,0.3902439024390244,0.977934161,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005088004783_Drosophila_obscura_part1_of1,0.95523,0.1593625498007967,0.194386592,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005088004859_Drosophila_obscura_part1_of1,0.87353,0.689795918367347,2.2117555830000004,Cluster_1,Cluster_3,Cluster_1_Cluster_3
P005077009626_Drosophila_guanche_part1_of1,P005088004876_Drosophila_obscura_part1_of1,0.88503,0.7037037037037037,2.2406574310000003,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005089006354_Drosophila_persimilis_part1_of1,0.95475,0.1713147410358565,0.2023297989999999,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005089006356_Drosophila_persimilis_part1_of1,0.88259,0.7037037037037037,2.212889812,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005091006300_Drosophila_rhopaloa_part1_of1,0.86625,0.7119341563786008,2.371933348,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005092009946_Drosophila_santomea_part1_of1,0.89569,0.7078189300411523,2.371194753,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005092009948_Drosophila_santomea_part1_of1,0.90587,0.4193548387096774,1.047675129,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005093013422_Drosophila_sechellia_part1_of1,0.8547,0.7160493827160495,2.347447262,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005093013423_Drosophila_sechellia_part1_of1,0.9195,0.4377510040160642,1.043785989,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005095004731_Drosophila_setifemur_part1_of1,0.88354,0.6926229508196722,2.3525725640000004,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005095011902_Drosophila_setifemur_part1_of1,0.83078,0.4748858447488584,1.117377502,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005095011903_Drosophila_setifemur_part1_of1,0.8771,0.4857142857142857,1.0421592,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005097008429_Drosophila_subobscura_part1_of2,0.93566,0.0597609561752987,0.063997131,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005097008429_Drosophila_subobscura_part2_of2,0.88684,0.6910569105691057,2.1782097160000005,Cluster_1,Cluster_3,Cluster_1_Cluster_3
P005077009626_Drosophila_guanche_part1_of1,P005097009271_Drosophila_subobscura_part1_of1,0.88499,0.7037037037037037,2.226237254,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005098006594_Drosophila_subpulchrella_part1_of2,0.89,0.7206477732793521,2.381069283,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005098006594_Drosophila_subpulchrella_part2_of2,0.90721,0.4395161290322581,1.005825002,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005099002466_Drosophila_suzukii_part1_of1,0.89702,0.4435483870967742,1.025688098,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005099007453_Drosophila_suzukii_part1_of1,0.88442,0.7172131147540983,2.3999064000000003,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005100011380_Drosophila_takahashii_part1_of2,0.86251,0.7183673469387755,2.4124140190000003,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005100011380_Drosophila_takahashii_part2_of2,0.90471,0.4354838709677419,1.01272011,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005101009090_Drosophila_teissieri_part1_of1,0.89043,0.7078189300411523,2.359370703,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005101009092_Drosophila_teissieri_part1_of1,0.90732,0.4233870967741935,1.036066925,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005102009205_Drosophila_virilis_part1_of1,0.88182,0.6983471074380165,2.412502084,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,P005102009206_Drosophila_virilis_part1_of1,0.92252,0.3943089430894309,1.005095626,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005103011421_Drosophila_willistoni_part1_of1,0.95182,0.4471544715447154,1.209510371,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077009626_Drosophila_guanche_part1_of1,P005103011422_Drosophila_willistoni_part1_of1,0.87763,0.7037037037037037,2.310731372,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077009626_Drosophila_guanche_part1_of1,Q9VBV3_Drosophila_melanogasterREF_part1_of1,0.93211,0.4377510040160642,1.047708526,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,B4KE22_Drosophila_mojavensisREF_part1_of1,0.78859,0.7831325301204819,3.129524071,Cluster_1,Cluster_4,Cluster_1_Cluster_4
P005077011090_Drosophila_guanche_part1_of1,P005064008787_Drosophila_albomicans_part1_of2,0.81495,0.428,0.98753143,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005064008787_Drosophila_albomicans_part2_of2,0.82064,0.5365853658536586,1.201670662,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005064013138_Drosophila_albomicans_part1_of1,0.79355,0.7148760330578512,2.3858629780000005,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005065001328_Drosophila_ananassae_part1_of2,0.83709,0.4541832669322709,1.112548636,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005065001328_Drosophila_ananassae_part2_of2,0.80831,0.6721311475409837,2.176090738,Cluster_1,Cluster_3,Cluster_1_Cluster_3
P005077011090_Drosophila_guanche_part1_of1,P005065003751_Drosophila_ananassae_part1_of1,0.81261,0.7201646090534979,2.3504602300000004,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005066011807_Drosophila_arizonae_part1_of2,0.81019,0.7242798353909465,2.4898726140000003,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005066011807_Drosophila_arizonae_part2_of2,0.76321,0.4199134199134199,0.980701014,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005067004171_Drosophila_biarmipes_part1_of1,0.79977,0.7201646090534979,2.384443533,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005067004172_Drosophila_biarmipes_part1_of1,0.811,0.467741935483871,1.0605369290000002,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005068011778_Drosophila_bipectinata_part1_of2,0.79028,0.7119341563786008,2.3528866350000004,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005068011778_Drosophila_bipectinata_part2_of2,0.81523,0.4435483870967742,1.159602192,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005070006661_Drosophila_bunnanda_part1_of1,0.80965,0.4911504424778761,1.1807432100000002,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005070006662_Drosophila_bunnanda_part1_of1,0.80741,0.6995884773662551,2.26399731,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005071004180_Drosophila_busckii_part1_of1,0.77801,0.72,2.3420521140000004,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005071007432_Drosophila_busckii_part1_of1,0.8007,0.4424778761061947,1.070193752,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005072008715_Drosophila_elegans_part1_of1,0.79922,0.7160493827160495,2.366384893,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005072008716_Drosophila_elegans_part1_of1,0.82029,0.4435483870967742,1.055493379,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005073012561_Drosophila_erecta_part1_of1,0.81673,0.4314516129032257,1.0473945000000002,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005074010565_Drosophila_eugracilis_part1_of1,0.81015,0.4274193548387096,1.060678902,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005074010571_Drosophila_eugracilis_part1_of1,0.79877,0.7242798353909465,2.330166109,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005075007245_Drosophila_ficusphila_part1_of1,0.77519,0.7283950617283951,2.357718057,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005076010725_Drosophila_grimshawi_part1_of1,0.72849,0.5021097046413502,1.233543197,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005076010744_Drosophila_grimshawi_part1_of1,0.78316,0.7231404958677685,2.464156915,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005076010745_Drosophila_grimshawi_part1_of1,0.80973,0.467479674796748,1.0279617719999998,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005077009626_Drosophila_guanche_part1_of1,0.83698,0.0,1e-08,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005077011621_Drosophila_guanche_part1_of1,0.78797,0.7037037037037037,2.244737582,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005078005510_Drosophila_hydei_part1_of1,0.82027,0.4390243902439024,1.0609573289999998,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005078006118_Drosophila_hydei_part1_of1,0.77757,0.7231404958677685,2.4432253600000005,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005079010340_Drosophila_innubila_part1_of1,0.78338,0.5203252032520325,1.261986269,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005079011844_Drosophila_innubila_part1_of2,0.8064,0.7201646090534979,2.3834099450000004,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005079011844_Drosophila_innubila_part2_of2,0.79868,0.4229074889867841,0.980438548,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005080010494_Drosophila_ironensis_part1_of1,0.80233,0.7160493827160495,2.351364711,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005080010499_Drosophila_ironensis_part1_of1,0.80464,0.4601769911504425,1.205167032,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005080012110_Drosophila_ironensis_part1_of1,0.81887,0.4805194805194805,0.96502517,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005081003743_Drosophila_kikkawai_part1_of3,0.81581,0.7049180327868853,2.266388715,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005081003743_Drosophila_kikkawai_part2_of3,0.73427,0.5169082125603865,1.2508487250000002,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005081003743_Drosophila_kikkawai_part3_of3,0.81391,0.4899598393574297,1.1470559670000002,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005081004694_Drosophila_kikkawai_part1_of1,0.82383,0.5263157894736843,1.240854985,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005082012188_Drosophila_mauritiana_part1_of1,0.79554,0.7201646090534979,2.3435027300000004,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005082012529_Drosophila_mauritiana_part1_of1,0.82636,0.4377510040160642,1.048383577,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005083008909_Drosophila_melanogaster_part1_of1,0.79896,0.7160493827160495,2.347416646,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005083008910_Drosophila_melanogaster_part1_of1,0.82218,0.4377510040160642,1.047708526,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005084006084_Drosophila_miranda_part1_of1,0.83235,0.1752988047808764,0.2062576039999999,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005084006085_Drosophila_miranda_part1_of1,0.80066,0.7037037037037037,2.212889812,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005085005288_Drosophila_mojavensis_part1_of1,0.79006,0.71900826446281,2.49227596,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005085005289_Drosophila_mojavensis_part1_of1,0.7734,0.4605809128630705,1.0293565029999998,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005086002813_Drosophila_navojoa_part1_of1,0.79746,0.7231404958677685,2.473917752,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005086003013_Drosophila_navojoa_part1_of1,0.81753,0.4227642276422764,0.992515857,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005087007713_Drosophila_novamexicana_part1_of1,0.81248,0.467479674796748,1.093738967,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005087007760_Drosophila_novamexicana_part1_of1,0.80004,0.6983471074380165,2.412502084,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005087007761_Drosophila_novamexicana_part1_of1,0.81745,0.3902439024390244,0.977934161,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005088004783_Drosophila_obscura_part1_of1,0.83388,0.1593625498007967,0.194386592,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005088004859_Drosophila_obscura_part1_of1,0.8027,0.689795918367347,2.2117555830000004,Cluster_1,Cluster_3,Cluster_1_Cluster_3
P005077011090_Drosophila_guanche_part1_of1,P005088004876_Drosophila_obscura_part1_of1,0.79635,0.7037037037037037,2.2406574310000003,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005089006354_Drosophila_persimilis_part1_of1,0.82915,0.1713147410358565,0.2023297989999999,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005089006356_Drosophila_persimilis_part1_of1,0.80067,0.7037037037037037,2.212889812,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005091006300_Drosophila_rhopaloa_part1_of1,0.78055,0.7119341563786008,2.371933348,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005092009946_Drosophila_santomea_part1_of1,0.80153,0.7078189300411523,2.371194753,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005092009948_Drosophila_santomea_part1_of1,0.81539,0.4193548387096774,1.047675129,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005093013422_Drosophila_sechellia_part1_of1,0.77605,0.7160493827160495,2.347447262,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005093013423_Drosophila_sechellia_part1_of1,0.81895,0.4377510040160642,1.043785989,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005095004731_Drosophila_setifemur_part1_of1,0.79895,0.6926229508196722,2.3525725640000004,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005095011902_Drosophila_setifemur_part1_of1,0.76823,0.4748858447488584,1.117377502,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005095011903_Drosophila_setifemur_part1_of1,0.81702,0.4857142857142857,1.0421592,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005097008429_Drosophila_subobscura_part1_of2,0.8335,0.0597609561752987,0.063997131,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005097008429_Drosophila_subobscura_part2_of2,0.81965,0.6910569105691057,2.1782097160000005,Cluster_1,Cluster_3,Cluster_1_Cluster_3
P005077011090_Drosophila_guanche_part1_of1,P005097009271_Drosophila_subobscura_part1_of1,0.80053,0.7037037037037037,2.226237254,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005098006594_Drosophila_subpulchrella_part1_of2,0.81181,0.7206477732793521,2.381069283,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005098006594_Drosophila_subpulchrella_part2_of2,0.80699,0.4395161290322581,1.005825002,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005099002466_Drosophila_suzukii_part1_of1,0.81483,0.4435483870967742,1.025688098,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005099007453_Drosophila_suzukii_part1_of1,0.79892,0.7172131147540983,2.3999064000000003,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005100011380_Drosophila_takahashii_part1_of2,0.78808,0.7183673469387755,2.4124140190000003,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005100011380_Drosophila_takahashii_part2_of2,0.80713,0.4354838709677419,1.01272011,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005101009090_Drosophila_teissieri_part1_of1,0.80142,0.7078189300411523,2.359370703,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005101009092_Drosophila_teissieri_part1_of1,0.81768,0.4233870967741935,1.036066925,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005102009205_Drosophila_virilis_part1_of1,0.79809,0.6983471074380165,2.412502084,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,P005102009206_Drosophila_virilis_part1_of1,0.81284,0.3943089430894309,1.005095626,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005103011421_Drosophila_willistoni_part1_of1,0.81301,0.4471544715447154,1.209510371,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011090_Drosophila_guanche_part1_of1,P005103011422_Drosophila_willistoni_part1_of1,0.78726,0.7037037037037037,2.310731372,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005077011090_Drosophila_guanche_part1_of1,Q9VBV3_Drosophila_melanogasterREF_part1_of1,0.82441,0.4377510040160642,1.047708526,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005077011621_Drosophila_guanche_part1_of1,B4KE22_Drosophila_mojavensisREF_part1_of1,0.83361,0.7377049180327868,2.3413415310000003,Cluster_2,Cluster_4,Cluster_2_Cluster_4
P005077011621_Drosophila_guanche_part1_of1,P005064008787_Drosophila_albomicans_part1_of2,0.86036,0.6707818930041152,1.918569756,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005064008787_Drosophila_albomicans_part2_of2,0.8706,0.7107438016528926,2.2044990879999995,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005064013138_Drosophila_albomicans_part1_of1,0.91771,0.2128514056224899,0.314253056,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005065001328_Drosophila_ananassae_part1_of2,0.88358,0.6748971193415638,2.40177072,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005065001328_Drosophila_ananassae_part2_of2,0.87791,0.6857142857142857,1.963906634,Cluster_2,Cluster_3,Cluster_2_Cluster_3
P005077011621_Drosophila_guanche_part1_of1,P005065003751_Drosophila_ananassae_part1_of1,0.91883,0.176,0.278850308,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005066011807_Drosophila_arizonae_part1_of2,0.90797,0.2289156626506023,0.418262692,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005066011807_Drosophila_arizonae_part2_of2,0.79735,0.6519823788546255,1.91173934,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005067004171_Drosophila_biarmipes_part1_of1,0.94461,0.168,0.312833611,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005067004172_Drosophila_biarmipes_part1_of1,0.84546,0.691358024691358,2.349759013,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005068011778_Drosophila_bipectinata_part1_of2,0.9526,0.148,0.281276713,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005068011778_Drosophila_bipectinata_part2_of2,0.85828,0.6872427983539094,2.448824276,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005070006661_Drosophila_bunnanda_part1_of1,0.84312,0.6933333333333334,2.469965294,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005070006662_Drosophila_bunnanda_part1_of1,0.94429,0.136,0.192387388,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005071004180_Drosophila_busckii_part1_of1,0.8973,0.1592920353982301,0.2704421919999999,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005071007432_Drosophila_busckii_part1_of1,0.83436,0.6946902654867257,2.001232078,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005072008715_Drosophila_elegans_part1_of1,0.9459,0.164,0.294774971,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005072008716_Drosophila_elegans_part1_of1,0.85461,0.6790123456790124,2.344715463,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005073012561_Drosophila_erecta_part1_of1,0.84021,0.691358024691358,2.336616584,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005074010565_Drosophila_eugracilis_part1_of1,0.85846,0.6954732510288066,2.349900986,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005074010571_Drosophila_eugracilis_part1_of1,0.93202,0.168,0.258556187,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005075007245_Drosophila_ficusphila_part1_of1,0.95926,0.1879999999999999,0.286108135,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005077011621_Drosophila_guanche_part1_of1,P005076010725_Drosophila_grimshawi_part1_of1,0.78862,0.6995708154506437,2.164581523,Cluster_2,Cluster_1,Cluster_1_Cluster_2
